contentname,filename,author,summary,timestamp,filesize,meta
PuzzleMaster DivineKids,puzzlemasterdk.zip,david,"Game menyusun gambar teracak ini menggunakan mouse. Pada pointer mouse ada jagoan kita Cici, hati-hati jangan sampai menabrak musuh. Ada Leak, Barong, dll. Semua bertema BALI, dari gambar puzzle,musik, musuh.+ Lampung + Lombok.",,33 MB,
Random Quiz,randomquiz.zip,dk-assoc,"Game dengan macam-macam pertanyaan dari Olahraga, musik, tekhnologi, animasi, dll. Dengan hadiah undian macam-macam.",,18 MB,
The Twisted Tale of Little Red Riding Hood,redridinghood.zip,dk-assoc,Game cerita bercabang berbahasa Inggris yang sengaja diberi suara sedikit agar pemain game dapat berlatih membaca melafalkan text bahasa Inggris. Cerita menarik & ada game mini.,,5 MB,
Ron Cherry,roncherry.zip,dk-assoc,Game tipe Cerita Bercabang ini menggunakan bahasa Inggris mengisahkan 2 orang anak yang tersesat di sebuah hutan mistis. Apa mereka bisa keluar?,,17 MB,
Lolos dari Ruangan Beracun,ruanganberacun.zip,david,"Game petualangan strategi Bambo Ijo agar lolos dari ruangan penuh asap rokok beracun. Game kampanye ANTI MEROKOK DI TEMPAT UMUM. Satukan tanda ""Dilarang"" dan tanda ""Merokok"" untuk buka pintu.",,11 MB,
Misteri Penunggu Rumah Tua,rumahtua.zip,dk-assoc,"Game ini jangan dikira serem ya.... Disini malah ada kuis kaya di TV, glamor lagi, tapi MCnya Pocong, Hantu Jeruk Purut, Tuyul, Sundel Bolong.",,8 MB,
Samurai Jabrik,samuraijabrik.zip,hizkia,"Game seorang samurai yang hendak menolong cucu perempuan seorang kakek. Dijanjikan bisa menikah dengan sang cucu. Klik kiri pedang, klik kanan tembak silver bullet.",,27 MB,
Sayembara Kerajaan,sayembara.zip,dk-assoc,"Bawang Putih,Malin Kundang, Timun Mas berusaha menyelamatkan seorang pangeran yang diculik. Karakter yang anda pilih memiliki kisah berbeda, dan lawan berbeda. Ada: Bawang Merah cs.",,24 MB,
SBY Boediono Game,sbyboedionogame.zip,david,"Game Kampanye kedua buatan David Setiabudi.Tipe petualangan, pilih jagoan anda, SBY tenaga 400 tembak besar. Boediono loncat tinggi. Game ini menantang! Game ini boleh didownload jika anda berusia 21 tahun keatas/ usia pencontreng.",,6 MB,
Scarlet Harvest,scarlet.zip,dk-assoc,Game cerita bercabang buatan Foxtale. Menceritakan tentang 2 remaja menyelesaikan misteri pembunuhan di sebuah rumah.,,10 MB,
Sekolah Gambar,sekolahgambar.zip,david,Menggambar untuk TK dan SD dengan komputer akan lebih menyenangkan dengan Sekolah Gambar. Banyak bimbingan step by step menggambar.,,17 MB,
Dunia Mewarnai Anak Sekolah Minggu,sekolahminggu.zip,david,Nah yang satu ini khusus anak-anak dan guru-guru Sekolah Minggu. Warnai dan PRINT gambar. Download 2.5 Mb saja!,,2 MB,
Sepak Bola Divine Kids,sepakbolanewest.zip,david,Indonesia masuk PIALA DUNIA terwujudkan dalam Game sepak Bola DK.11 vs 11 orang dikendalikan dengan MOUSE (Copyright David Setiabudi) sungguh SERU!!! Bisa menang lawan SPANYOL? Belanda?,,49 MB,
Bambo vs Serbuan Anjing Perokok,serbuan.zip,david,"Anjing perokok menyerbu bumi, misinya menjadikan semua manusia menjadi perokok. Anak-anak sesak napas, mereka terZOLIMI, Bambo dan seorang peri melawan kekejian mereka!",,67 MB,
Serupa Tapi Beda,serupa.zip,david,Game serupa ini menantang kejelian mata anda mencari 7 perbedaan di gambar ini menentukan kemenangan game. Tersedia banyak gambar di dalam game in. Ada catatan 10 pemain terbaik.,,8 MB,
Sharkie Angel,sharkie.zip,dk-assoc,"Game cerita bercabang yang mengisahkan kisah detektif Sharkie dari dia SD,SMP,SMA (dapat pilih). Kisah romantis, dan lucu. Ada bonus mini game Pentung Tikus.",,32 MB,
Siick Dodgleball,sickdodgeball.zip,evan,"Game orang yang sedang dibully, dan anda menjadi orang yang dibully, minta-minta ampun. Hindari lemparan-lemparan bola. Ada 3 stage per level, JANGAN COBA yang Crazy, karena kalau kalah komputer anda di-SHUTDOWN.",,43 MB,
Siege Arm,siegearm.zip,david,"Game buatan David Setiabudi 1992-1993 di SMUK St.Albertus Malang. Game dengan kontrol arah 4,8,6,2 - Spasi tembak - 5 Thunder. Game ini tidak diakui sebagai Game Pertama Indonesia karena judul sama dengan game buatan asing & penyebaran kurang luas,dll.",,152 KB,
Silent Night (versi 1.00),silentnight.zip,dk-assoc,Game horror action cerita bercabang yang memiliki banyak ending. Bagus buat kamu yang ingin berlatih belajar bahasa Inggris juga TAPI SEREM... Kalo berani sih...,,32 MB,
Sky Jump,skyjump.zip,dk-assoc,Deolis dengan sepatu loncat tingginya dihadapkan dengan robot penghancur kota. Deolis meloncat dari punggung pesawat menuju kepala robot musuh....,,8 MB,
Super Seed,superseed.zip,dk-assoc,"Di sebuah negeri ada biji-biji tanaman yang dapat berbicara karena adanya peri bunga. Suatu hari Peri Bunga diculik Meong. Super Seed harus menolong. Ada quiz, latihan mengingat, ketangkasan dalam misinya.",,17 MB,
Tangkap Koruptor,tangkapkoruptor.zip,david,"Satu Koruptor akan menyengsarakan banyak rakyat. Apa itu Korupsi? Merugikan seperti apa? Mainkan game seru ini bersama KPK Bambo, Somat, dan Gahar dalam 3 stage dan ada animasinya melawan para koruptor.",,24 MB,
Taro Cowboy,tarocowboy.zip,david,"Game petualangan TARO (TARO SNACK). Mau loncat, jongkok, atau tembak tinggal klik tombol di bawahnya. Asyik! Ayo mainkan gamenya sambil makan Taro Snack yang Enaknya Sungguh Krazzaaa....",,16 MB,
Taro Gunman,tarogunman.zip,david,"Petualangan Taro melawan Trio Pengacau yang dijamin seru. Kontrol menggunakan keyboard, Taro memiliki pistol snack Tembak Blast, dan Bola Snack Pelindung yang hebat. Game yang harus punya!",,36 MB,
Taro Quest,taroquest.zip,david,"Petualangan Taro melawan Trio Pengacau dalam Peta yang SANGAT LUAS, senjata yang bermacam-macam, rakit, bom, istana boss yang berliku-liku. Game masterpiece Taro Snack yang HARUS PUNYA!!! Seru!!!",,53 MB,
Taro Tembak Blast,tarotembak.zip,david,Game tembak-tembakan TARO (TARO SNACK) dengan menggunakan mouse klik sebagai tembak. Ayo mainkan gamenya sambil makan Taro Snack yang Enaknya Sungguh Krazzaaa....,,10 MB,
Upgrade IQ,upgradeiq.zip,yohanes,"Game dari Prof Yohanes Surya untuk meningkatkan IQ anda. Anda mencari angka yang kembar, misal anda pilih 1/2 maka cari 2/4. 3/6. 4/8 dan seterusnya. Penyederhanaan bilangan juga bisa dilakukan 10/3 jadi 3 1/3. Salah penyederhanaan = DIOMELI KIDI",,14 MB,
Priest - Vampire Slayer,vampire.zip,dk-assoc,"Anda adalah seorang Priest muda yang memiliki kemampuan mengeluarkan jurus api dari tangan anda, anda ditugaskan untuk membasmi vampir-vampir penghisap darah yang centil...??",,35 MB,
Vitruvian Project,vitruvian.zip,dk-assoc,"Clevio dan Fu Chang adalah 2 pasangan detektif, suatu hari Fu Chang diculik! Clevio harus menolong. Pilih armor, senjata, dll.Semi RPG dan cerita bercabang menarik di sini.",,17 MB,
Pelarian Wii,wii.zip,dk-assoc,"Kamu adalah Wii penyihir cilik yang bosan ikut geng penyihir jahat, jadi mau pindah ke partai PERI. Game ini latih kepekaan geser mouse, Ambil Kunci dulu baru bisa buka pintu.Buatan MMM-Marshellina Monica dan Monica angoota DK Associates.",,5 MB,
Pelarian Wii II,wii2.zip,dk-assoc,Perang antara kaum penyihir dan peri terjadi saat Wii berpindah dari penyihir ke peri. Hal ini dikarenakan para penyihir merampok desa-desa. Teman-teman Wii dikurung karena ingin jadi peri seperti Wii.,,94 MB,
